ActionType,ActionParameters,duration,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,38,,,,,,
Search,hennie from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,varja from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,var from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
GetDetail,Article 406,12,,,,,,
GetDetail,Article 265,62,,,,,,
GetDetail,Article 56,57,,,,,,
EditNotes,VAST5KP_revision_1_June_19_10:09_AM.patch,59,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
EditNotes,VAST5KP_revision_2_June_19_10:10_AM.patch,70,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Elodis from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,128,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,protectors from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,protectors from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 63,13,,,,,,
Search,Elodis from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Elodis from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Elodis from 1982-01-01 to 2015-01-01 page 0,34,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,abila from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,a from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,birthcountry from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
GetDetail,Bio-Ingrid%20Barranco.pdf,26,,,,,,
GetDetail,Bio-OrhanStrum.pdf,21,,,,,,
GetDetail,Bio-Sten%20SanjorgeJr.pdf,19,,,,,,
GetDetail,Bio-Willem%20Vasco.pdf,9,,,,,,
GetDetail,Employee Record 1,11,,,,,,
Search,elodis from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Employee Record 5,7,,,,,,
GetDetail,Employee Record 6,5,,,,,,
GetDetail,Employee Record 5,2,,,,,,
GetDetail,Employee Record 6,5,,,,,,
GetDetail,Employee Record 7,3,,,,,,
